
7967;15534;sea;17253;-1;-1;-1;-1;;
7967;15535;sea;15618;-1;-1;-1;-1;;
8137;12142;sea;16901;-1;-1;-1;-1;;
2090;346;sea;17411;-1;-1;-1;-1;;
12857;6711;sea;17070;-1;-1;-1;-1;;
13311;6967;sea;17387;-1;-1;-1;-1;;
8337;13388;sea;16178;-1;-1;-1;-1;;
13424;7237;sea;16668;-1;-1;-1;-1;;
13453;9488;sea;16668;-1;-1;-1;-1;;
9225;4943;sea;16956;-1;-1;-1;-1;;
7238;4826;sea;16956;-1;-1;-1;-1;;
13497;13485;sea;17395;-1;-1;-1;-1;;
6504;13499;sea;17395;-1;-1;-1;-1;;
3053;13507;sea;17395;-1;-1;-1;-1;;
8312;23;sea;16956;-1;-1;-1;-1;;
8312;8619;sea;15601;-1;-1;-1;-1;;
8052;4917;sea;16875;-1;-1;-1;-1;;
9330;13676;sea;17239;-1;-1;-1;-1;;
13639;9463;sea;17061;-1;-1;-1;-1;;
13799;13816;sea;15924;-1;-1;-1;-1;;
13837;13847;sea;15924;-1;-1;-1;-1;;
9660;3951;sea;15924;-1;-1;-1;-1;;
2540;14127;sea;16715;-1;-1;-1;-1;;
14127;17;sea;17153;-1;-1;-1;-1;;
9211;5248;sea;17539;-1;-1;-1;-1;;
110;14751;sea;17113;-1;-1;-1;-1;;
1612;14811;sea;17258;-1;-1;-1;-1;;
14811;9478;sea;17258;-1;-1;-1;-1;;
9478;14851;sea;17258;-1;-1;-1;-1;;
1612;14788;sea;17410;-1;-1;-1;-1;;
6126;6364;sea;15910;-1;-1;-1;-1;;
9492;3556;sea;17008;-1;-1;-1;-1;;
14931;14927;sea;16371;-1;-1;-1;-1;;
14950;175;sea;16934;-1;-1;-1;-1;;
175;14982;sea;16265;-1;-1;-1;-1;;
14994;1645;sea;16441;-1;-1;-1;-1;;
1505;8452;sea;16503;-1;-1;-1;-1;;
3581;15201;sea;17596;-1;-1;-1;-1;;
15135;9539;sea;16898;-1;-1;-1;-1;;
3630;15162;sea;16898;-1;-1;-1;-1;;
15162;1451;sea;16898;-1;-1;-1;-1;;
5090;9480;sea;16898;-1;-1;-1;-1;;
15112;5915;sea;16758;-1;-1;-1;-1;;
3111;15089;sea;16795;-1;-1;-1;-1;;
7799;4893;sea;16968;-1;-1;-1;-1;;
15059;9573;sea;17204;-1;-1;-1;-1;;
9573;4268;sea;17204;-1;-1;-1;-1;;
14997;15008;sea;17573;-1;-1;-1;-1;;
15008;8331;sea;17573;-1;-1;-1;-1;;
1134;14890;sea;16309;-1;-1;-1;-1;;
542;14932;sea;16147;-1;-1;-1;-1;;
14908;1806;sea;15569;-1;-1;-1;-1;;
14941;5334;sea;16309;-1;-1;-1;-1;;
14895;5334;sea;16309;-1;-1;-1;-1;;
14947;3684;sea;16309;-1;-1;-1;-1;;
14933;6886;sea;17160;-1;-1;-1;-1;;
14938;14920;sea;17177;-1;-1;-1;-1;;
7772;4723;sea;17025;-1;-1;-1;-1;;
4723;14783;sea;17025;-1;-1;-1;-1;;
10630;7848;sea;16032;-1;-1;-1;-1;;
9952;10026;sea;16136;-1;-1;-1;-1;;
10109;10125;sea;17128;-1;-1;-1;-1;;
8297;6053;sea;17154;-1;-1;-1;-1;;
15220;8085;sea;16307;-1;-1;-1;-1;;
4558;15233;sea;16293;-1;-1;-1;-1;;
5852;9751;sea;16590;-1;-1;-1;-1;;
15440;15454;sea;17146;-1;-1;-1;-1;;
5808;7953;sea;16514;-1;-1;-1;-1;;
