0;0;0;0;land;false;unknown;0
1;205;231;145;land;false;forest;1
2;231;239;109;land;false;mountain;1
3;40;248;243;land;true;plains;1
4;195;157;210;land;true;urban;1
5;118;236;154;land;true;hills;1
6;251;104;225;land;false;plains;1
7;148;180;201;land;false;mountain;1
8;253;238;119;land;false;hills;1
9;226;245;142;land;false;plains;1
10;217;245;146;land;false;plains;1
11;215;74;228;land;false;hills;1
12;233;171;153;land;false;hills;1
13;231;187;120;land;false;hills;1
14;251;154;111;land;false;plains;1
15;166;190;238;land;false;mountain;1
16;199;80;231;land;false;hills;1
17;243;254;37;land;true;plains;1
18;240;246;94;land;false;mountain;1
19;227;187;187;land;false;plains;1
20;198;174;231;land;false;plains;1
21;183;146;232;land;false;plains;1
22;83;248;254;land;false;hills;1
23;222;189;120;land;true;plains;1
24;246;250;156;land;false;mountain;1
25;222;209;182;land;false;plains;1
26;173;183;176;land;false;hills;1
27;166;240;236;land;false;mountain;1
28;237;210;223;land;false;urban;1
29;234;169;179;land;false;hills;1
30;161;251;113;land;false;hills;1
31;146;212;215;land;false;plains;1
32;176;196;197;land;false;mountain;1
33;252;134;128;land;false;hills;1
34;212;184;144;land;false;plains;1
35;89;234;203;land;false;plains;1
36;185;201;155;land;false;mountain;1
37;254;118;205;land;false;plains;1
38;52;242;207;land;false;mountain;1
39;200;176;146;land;false;hills;1
40;200;174;165;land;false;mountain;1
41;246;83;229;land;false;plains;1
42;206;77;246;land;false;hills;1
43;233;158;250;land;false;plains;1
44;230;209;69;land;false;mountain;1
45;169;213;166;land;false;hills;1
46;155;216;222;land;false;hills;1
47;137;206;252;land;true;forest;1
48;187;233;222;land;true;plains;1
49;173;191;142;land;false;hills;1
50;136;191;210;land;false;hills;1
51;136;228;182;land;false;hills;1
52;219;221;196;land;false;plains;1
53;121;182;216;land;false;mountain;1
54;170;220;111;land;false;mountain;1
55;245;63;236;land;false;plains;1
56;212;51;249;land;false;plains;1
57;190;145;174;land;false;mountain;1
58;171;250;117;land;false;mountain;1
59;203;248;115;land;false;plains;1
60;253;148;252;land;false;hills;1
61;140;199;205;land;false;hills;1
62;238;182;194;land;false;hills;1
63;100;240;230;land;false;plains;1
64;182;232;104;land;false;mountain;1
