1;industrial_complex;269.00;10.10;4078.00;3.87;0
1;industrial_complex;229.00;10.10;3956.00;5.08;0
1;industrial_complex;282.00;10.00;4031.00;2.92;0
1;industrial_complex;334.00;9.80;3942.00;4.48;0
1;industrial_complex;32.00;10.70;3901.00;0.86;0
1;industrial_complex;115.00;10.40;3953.00;3.52;0
1;air_base;273.00;10.00;3958.00;1.36;0
1;bunker;106.00;10.30;3831.00;2.79;0
1;synthetic_refinery;103.00;10.50;3912.00;2.70;0
1;fuel_silo;22.00;10.60;3941.00;3.90;0
1;radar_station;194.00;10.10;3950.00;0.87;0
1;rocket_site;209.00;10.10;3963.00;4.41;0
2;air_base;664.00;10.93;4002.00;1.97;0
2;bunker;507.00;10.05;3991.00;3.95;0
2;fuel_silo;583.00;10.35;4055.00;1.17;0
3;bunker;1862.00;11.90;1337.00;5.76;0
3;fuel_silo;1858.00;11.40;1381.00;1.33;0
4;arms_factory;921.00;11.28;4020.00;5.08;0
4;arms_factory;877.00;11.00;4068.00;2.92;0
4;arms_factory;889.00;10.65;4086.00;4.48;0
4;arms_factory;883.00;10.90;4074.00;0.86;0
4;arms_factory;976.00;10.62;4074.00;3.52;0
4;arms_factory;899.00;10.88;4061.00;1.36;0
4;industrial_complex;959.00;10.70;4080.00;2.92;0
4;industrial_complex;968.00;11.45;4013.00;5.59;0
4;industrial_complex;950.00;10.85;4018.00;1.97;0
4;industrial_complex;913.00;10.90;3994.00;6.09;0
4;industrial_complex;905.00;10.73;4077.00;1.37;0
4;industrial_complex;938.00;11.12;3993.00;4.03;0
4;air_base;907.00;10.65;4084.00;1.87;0
4;bunker;927.00;10.40;4088.00;3.22;0
4;anti_air_building;969.00;10.70;4052.00;4.78;0
4;anti_air_building;1011.00;10.70;4017.00;1.16;0
4;anti_air_building;972.00;10.93;4057.00;5.28;0
4;synthetic_refinery;888.00;10.50;4094.00;0.21;0
4;fuel_silo;963.00;10.62;4062.00;3.23;0
4;radar_station;945.00;10.60;4037.00;1.65;0
4;rocket_site;925.00;11.57;4015.00;3.73;0
5;air_base;1189.00;11.55;3939.00;6.10;0
5;bunker;1402.00;12.23;3719.00;3.47;0
5;anti_air_building;1411.00;12.48;3821.00;1.31;0
5;anti_air_building;1267.00;11.18;3873.00;2.87;0
5;anti_air_building;1190.00;11.70;3939.00;5.54;0
5;synthetic_refinery;1372.00;11.20;3932.00;3.37;0
5;radar_station;1219.00;12.03;3903.00;1.39;0
5;rocket_site;1426.00;15.40;3893.00;3.98;0
6;bunker;1565.00;13.32;3827.00;6.22;0
6;synthetic_refinery;1667.00;12.93;3988.00;2.88;0
8;bunker;2430.00;9.70;17.00;0.42;0
9;bunker;2314.00;9.70;205.00;4.55;0
9;synthetic_refinery;2288.00;11.93;224.00;3.06;0
9;fuel_silo;2321.00;9.70;173.00;3.16;0
9;rocket_site;2312.00;12.00;253.00;3.67;0
10;bunker;2711.00;10.78;157.00;4.71;0
10;coastal_bunker;2724.00;9.82;207.00;-3.34;0
11;bunker;2321.00;9.98;335.00;3.67;0
11;coastal_bunker;2324.00;9.70;334.00;-1.57;0
12;air_base;1080.00;12.95;233.00;2.55;0
12;bunker;1129.00;9.70;281.00;0.26;0
12;coastal_bunker;1155.00;9.70;291.00;-2.86;0
12;fuel_silo;1215.00;9.70;296.00;1.17;0
12;radar_station;1162.00;9.50;297.00;4.68;0
12;rocket_site;1026.00;9.70;212.00;0.57;0
13;bunker;2668.00;9.70;496.00;0.70;0
13;coastal_bunker;2675.00;9.50;485.00;-0.62;0
13;synthetic_refinery;2730.00;11.23;598.00;3.47;0
13;radar_station;2746.00;12.70;598.00;4.02;0
14;arms_factory;2018.00;9.70;576.00;5.65;0
14;arms_factory;2017.00;10.40;649.00;2.04;0
14;arms_factory;2021.00;9.85;692.00;5.06;0
14;arms_factory;2023.00;9.98;684.00;6.26;0
14;arms_factory;2010.00;9.90;704.00;4.10;0
14;arms_factory;1979.00;10.18;568.00;0.48;0
14;industrial_complex;2021.00;9.70;610.00;2.04;0
14;industrial_complex;1985.00;10.45;554.00;4.71;0
14;industrial_complex;1974.00;11.57;523.00;2.55;0
14;industrial_complex;2022.00;9.70;599.00;2.65;0
14;industrial_complex;2027.00;10.78;664.00;0.49;0
14;industrial_complex;2025.00;9.75;651.00;4.61;0
14;air_base;2039.00;9.73;697.00;5.82;0
14;bunker;1997.00;9.93;653.00;6.20;0
14;coastal_bunker;2006.00;9.50;678.00;-1.39;0
14;dockyard;2021.00;9.70;594.00;1.45;0
14;anti_air_building;1999.00;9.70;690.00;0.65;0
14;anti_air_building;1972.00;10.07;575.00;4.78;0
14;anti_air_building;2015.00;9.70;621.00;0.06;0
14;synthetic_refinery;1993.00;11.12;561.00;4.18;0
14;fuel_silo;1973.00;11.80;532.00;0.56;0
14;radar_station;2008.00;9.70;621.00;2.32;0
14;rocket_site;1997.00;9.70;574.00;6.24;0
15;bunker;2985.00;9.73;621.00;1.74;0
