1;242.00;10.30;3742.00;big
1;186.00;9.70;3470.00;big
2;2201.00;9.50;1384.00;big
2;2736.00;9.50;1240.00;big
3;1.00;9.50;3080.00;big
3;1.00;9.50;839.00;big
4;2246.00;9.88;51.00;big
4;2028.00;9.70;161.00;big
5;1247.00;9.70;1673.00;big
5;1113.00;10.00;1831.00;big
6;1100.00;10.65;2581.00;big
6;878.00;9.70;2419.00;big
7;2490.00;9.70;3851.00;big
7;2874.00;15.88;3947.00;big
8;2090.00;12.85;3593.00;big
8;1977.00;11.73;3214.00;big
9;1546.00;20.48;3147.00;big
9;1750.00;17.65;3325.00;big
10;1721.00;14.00;2937.00;big
10;1407.00;9.75;2718.00;big
11;1232.00;14.35;3156.00;big
11;1080.00;15.40;2925.00;big
12;877.00;9.78;2737.00;big
12;653.00;11.95;2736.00;big
13;2037.00;9.50;925.00;big
13;1787.00;9.70;796.00;big
14;1141.00;9.70;2160.00;big
14;968.00;9.70;2235.00;big
15;1012.00;9.85;1985.00;big
15;764.00;9.82;2074.00;big
16;1444.00;12.70;2228.00;big
16;1703.00;13.07;1843.00;big
17;1837.00;9.70;1191.00;big
17;1795.00;9.93;1440.00;big
18;1649.00;10.70;866.00;big
18;1569.00;9.90;922.00;big
19;1221.00;9.70;907.00;big
19;1248.00;9.70;745.00;big
20;1012.00;9.70;212.00;big
20;1186.00;10.70;226.00;big
21;1864.00;9.70;932.00;big
21;1951.00;9.73;1020.00;big
22;1566.00;10.18;1581.00;big
22;1466.00;10.05;1407.00;big
23;1292.00;9.95;1345.00;big
23;1176.00;9.93;1501.00;big
24;3003.00;12.48;726.00;big
24;3009.00;9.50;588.00;big
25;3017.00;10.93;942.00;big
25;2822.00;10.62;739.00;big
26;2845.00;9.70;513.00;big
26;2631.00;9.70;568.00;big
27;3014.00;10.80;297.00;big
27;3033.00;10.10;152.00;big
28;2648.00;10.28;263.00;big
28;2767.00;10.00;121.00;big
29;2559.00;13.18;68.00;big
29;2436.00;9.80;59.00;big
30;2218.00;9.70;227.00;big
30;2299.00;9.70;184.00;big
31;2406.00;9.70;230.00;big
31;2456.00;9.73;368.00;big
32;2067.00;9.50;572.00;big
32;1696.00;9.50;229.00;big
33;2145.00;12.85;3932.00;big
33;1725.00;14.35;3828.00;big
34;1465.00;14.60;3495.00;big
34;1233.00;14.82;3548.00;big
35;1050.00;10.90;3955.00;big
35;1335.00;10.90;3929.00;big
36;790.00;10.70;4027.00;big
36;545.00;10.10;4041.00;big
37;101.00;10.40;3943.00;big
37;265.00;10.10;4002.00;big
38;985.00;11.88;3313.00;big
38;1001.00;11.38;3649.00;big
39;791.00;11.28;3868.00;big
39;836.00;11.53;3733.00;big
40;442.00;11.65;3220.00;big
40;806.00;11.40;3230.00;big
41;645.00;12.75;3037.00;big
41;438.00;10.43;2836.00;big
42;98.00;9.50;2470.00;big
42;115.00;9.70;2702.00;big
43;213.00;10.93;2921.00;big
43;83.00;9.70;3129.00;big
44;50.00;10.90;2872.00;big
44;38.00;9.95;2977.00;big
45;181.00;9.70;3275.00;big
45;246.00;10.18;3139.00;big
46;498.00;11.30;3423.00;big
46;723.00;12.28;3491.00;big
47;500.00;10.10;3882.00;big
47;486.00;10.15;3661.00;big
48;57.00;9.70;3677.00;big
48;56.00;10.10;3771.00;big
49;282.00;9.50;2000.00;big
49;414.00;9.50;2357.00;big
50;235.00;9.50;1364.00;big
50;784.00;9.50;1302.00;big
51;395.00;9.50;631.00;big
51;289.00;9.50;213.00;big
52;2016.00;9.50;2766.00;big
52;1731.00;9.50;2476.00;big
53;2558.00;9.50;2955.00;big
53;2665.00;9.50;3461.00;big
54;2187.00;9.50;2114.00;big
54;2757.00;9.50;2149.00;big
55;1240.00;10.60;539.00;big
55;1561.00;9.50;720.00;big
56;1248.00;9.70;1908.00;big
56;1370.00;11.12;1912.00;big
57;1276.00;9.70;1804.00;small
57;0.00;9.50;0.00;small
58;1389.00;10.75;1628.00;small
58;1411.00;10.28;1742.00;small
59;1391.00;11.35;882.00;small
59;1480.00;9.70;808.00;small
60;1320.00;9.70;1166.00;big
60;1362.00;11.38;1226.00;big
61;1381.00;10.15;1020.00;small
61;1448.00;11.50;1152.00;small
62;1018.00;9.70;712.00;big
62;1174.00;9.70;1040.00;big
63;1237.00;9.70;1170.00;big
63;1282.00;9.70;1236.00;big
64;1631.00;10.25;1048.00;big
64;1533.00;10.40;1079.00;big
65;1680.00;9.70;970.00;big
65;1738.00;11.12;928.00;big
66;1750.00;10.57;1028.00;big
66;1825.00;9.70;1008.00;big
